tahun,bulan,kode_prov_baru,kode_kab_baru,jenis_akomodasi,kelas_akomodasi,room,bed,room_yesterday,room_in,room_out,wna_yesterday,wni_yesterday,wna_in,wni_in,wna_out,wni_out
2023,1,17,71,1,1,2666,3503,545,359,413,0,1444,0,718,0,772
2023,1,17,01,1,2,1271,1767,122,129,122,0,222,0,231,0,222
2023,1,17,71,1,2,8649,12958,3559,2794,2877,0,7336,0,5481,0,5599
2023,1,17,02,1,3,1364,2728,295,278,298,0,576,0,543,0,576
2023,1,17,71,1,3,12183,17887,5220,4205,4194,18,10563,13,8180,11,8102
2023,1,17,71,1,4,6944,11129,1710,1616,1705,16,3524,12,3224,16,3400
2023,1,19,01,1,1,3162,4805,206,199,203,0,412,0,398,0,406
2023,1,19,02,1,1,1550,2046,486,138,140,1,742,1,204,1,208
2023,1,19,04,1,1,930,961,318,300,317,0,636,0,600,0,634
2023,1,19,06,1,1,1550,1798,203,193,184,0,406,0,386,0,368
2023,1,19,71,1,1,1535,2326,687,281,270,0,594,0,559,0,546
2023,1,19,01,1,2,806,992,96,88,96,0,179,4,165,4,179
2023,1,19,02,1,2,4092,5239,577,119,106,0,877,0,229,0,191
2023,1,19,71,1,2,14973,23436,4652,3050,3204,0,7459,0,5586,0,5900
2023,1,19,01,1,3,3751,5797,486,418,486,0,972,0,836,0,972
2023,1,19,02,1,3,17150,27590,5642,2500,2889,41,8680,41,3484,17,3641
2023,1,19,04,1,3,9851,12803,3522,2424,2558,0,5830,0,4108,0,4362
2023,1,19,71,1,3,9548,15562,2482,1514,1634,0,3922,0,2761,0,3023
2023,1,19,01,1,4,4092,6076,1131,1052,1131,0,2262,2,2104,2,2262
2023,1,19,02,1,4,25563,38533,6714,3873,4367,174,12921,140,7741,142,8611
2023,1,19,04,1,4,7037,9021,2160,1284,1344,48,3409,26,1952,27,2143
2023,1,19,71,1,4,5053,7657,1661,1170,1217,0,3148,0,2340,0,2424
2023,1,19,02,1,5,3410,4309,872,363,439,408,1527,113,706,157,847
2023,1,33,01,2,1,186,372,10,10,10,0,20,0,20,0,20
2023,1,33,02,2,1,7795,15582,2075,1987,2075,0,4152,0,3977,0,4152
2023,1,33,04,2,1,5010,13767,626,612,626,0,2260,0,2212,0,2260
2023,1,33,05,2,1,1139,2277,490,468,462,0,962,0,926,0,917
2023,1,33,07,2,1,9264,18870,2884,2867,2875,0,5725,0,5696,0,5680
2023,1,33,08,2,1,4057,8224,888,874,885,0,1782,0,1750,0,1775
2023,1,33,10,2,1,2077,4185,472,476,472,0,944,0,952,0,944
2023,1,33,13,2,1,17051,34226,4052,3897,4014,0,8356,0,7824,0,8047
2023,1,33,15,2,1,434,868,160,160,160,0,320,0,320,0,320
2023,1,33,16,2,1,558,1116,22,22,22,0,44,0,44,0,44
2023,1,33,19,2,1,279,620,80,77,80,0,161,0,155,0,161
2023,1,33,20,2,1,3091,6026,191,83,78,0,414,0,176,0,165
2023,1,33,21,2,1,527,1054,261,249,261,0,522,0,498,0,522
2023,1,33,22,2,1,11017,22028,1678,1699,1678,0,3355,0,3397,0,3355
2023,1,33,24,2,1,961,1922,236,229,236,0,472,0,458,0,472
2023,1,33,25,2,1,651,1302,373,369,373,0,746,0,738,0,746
2023,1,33,26,2,1,248,496,43,44,43,0,86,0,88,0,86
2023,1,33,27,2,1,434,868,258,264,258,0,270,0,280,0,270
2023,1,33,28,2,1,1271,2542,488,487,488,0,976,0,974,0,976
2023,1,33,72,2,1,2108,4216,584,578,584,0,1160,0,1148,0,1160
2023,1,33,74,2,1,1649,3731,328,312,323,0,659,0,624,0,648
2023,1,33,75,2,1,992,1984,572,580,572,0,1144,0,1160,0,1144
2023,1,33,01,2,2,16197,32395,2970,2530,2551,0,5308,0,4500,0,4526
2023,1,33,02,2,2,37162,72317,7767,7257,7713,0,15451,0,14528,0,15451
2023,1,33,03,2,2,3192,4643,581,534,557,0,1319,0,1081,0,1134
2023,1,33,04,2,2,3534,7068,1740,1752,1740,0,3480,0,3504,0,3480
2023,1,33,05,2,2,10602,23064,3182,3006,3090,0,6660,0,6312,0,6476
2023,1,33,06,2,2,5828,9052,852,860,848,0,1652,0,1668,0,1644
2023,1,33,07,2,2,8507,15623,1607,1489,1565,0,3107,0,2819,0,2962
2023,1,33,08,2,2,5677,11794,1455,1405,1449,28,2883,28,2772,28,2859
2023,1,33,09,2,2,5394,10044,1580,1060,1130,0,3318,0,2162,0,2308
2023,1,33,10,2,2,14278,27674,1920,1876,1908,0,3950,0,3753,0,3804
2023,1,33,11,2,2,3311,6473,1058,1030,1058,0,2047,0,1995,0,2047
2023,1,33,12,2,2,12678,25932,3086,2733,2765,0,5530,0,5226,0,5328
2023,1,33,13,2,2,19037,36620,3661,3466,3520,0,7076,2,6932,0,7067
2023,1,33,14,2,2,496,992,20,20,20,0,20,0,20,0,20
2023,1,33,15,2,2,1147,1922,547,550,547,0,1094,0,1100,0,1094
2023,1,33,16,2,2,3558,7075,1282,1188,1204,0,2619,0,2369,0,2397
2023,1,33,17,2,2,4167,8332,304,307,304,0,545,0,556,0,545
2023,1,33,18,2,2,4588,8866,1604,1226,1212,0,2964,0,2250,0,2194
2023,1,33,19,2,2,6488,11286,2030,1433,1410,0,3832,0,2807,0,2761
2023,1,33,20,2,2,9213,18424,291,244,256,0,590,0,499,0,520
2023,1,33,21,2,2,992,1364,116,116,116,0,143,0,146,0,143
2023,1,33,22,2,2,26803,53968,4726,4686,4726,0,9444,0,9361,0,9444
2023,1,33,23,2,2,4311,8624,2022,1978,2021,0,4044,0,3954,0,4044
2023,1,33,24,2,2,3285,6571,1080,1083,1080,0,2158,0,2164,0,2158
2023,1,33,25,2,2,1426,2852,595,572,595,0,1190,0,1144,0,1190
2023,1,33,26,2,2,2480,4960,1624,1622,1624,0,3228,0,3224,0,3228
2023,1,33,27,2,2,1978,4123,428,436,428,0,869,0,887,0,869
2023,1,33,28,2,2,3875,7750,940,927,940,0,1896,0,1870,0,1896
2023,1,33,71,2,2,4064,8029,691,654,669,0,1373,0,1311,0,1339
2023,1,33,72,2,2,29965,60036,8634,7728,7863,0,15688,0,14358,0,14608
2023,1,33,73,2,2,7564,15748,2703,2153,2235,0,5322,0,4280,0,4444
